heaptrack output will be written to "/home/greg/quantum/QuEST_Test_Bench/heaptrack.grover.994398.gz"
starting application, this might take some time...
numQubits: 18, numElems: 262144, numReps: 403
prob of solution |7> = 0.509524
prob of solution |7> = 0.513429
prob of solution |7> = 0.517333
prob of solution |7> = 0.521237
prob of solution |7> = 0.525139
prob of solution |7> = 0.529039
prob of solution |7> = 0.532938
prob of solution |7> = 0.536835
prob of solution |7> = 0.540729
prob of solution |7> = 0.544621
prob of solution |7> = 0.54851
prob of solution |7> = 0.552397
prob of solution |7> = 0.55628
prob of solution |7> = 0.560159
prob of solution |7> = 0.564035
prob of solution |7> = 0.567907
prob of solution |7> = 0.571775
prob of solution |7> = 0.575639
prob of solution |7> = 0.579498
prob of solution |7> = 0.583352
prob of solution |7> = 0.587201
prob of solution |7> = 0.591045
prob of solution |7> = 0.594883
prob of solution |7> = 0.598715
prob of solution |7> = 0.602542
prob of solution |7> = 0.606362
prob of solution |7> = 0.610175
prob of solution |7> = 0.613982
prob of solution |7> = 0.617782
prob of solution |7> = 0.621575
prob of solution |7> = 0.62536
prob of solution |7> = 0.629137
prob of solution |7> = 0.632907
prob of solution |7> = 0.636669
prob of solution |7> = 0.640422
prob of solution |7> = 0.644167
prob of solution |7> = 0.647903
prob of solution |7> = 0.65163
prob of solution |7> = 0.655347
prob of solution |7> = 0.659055
prob of solution |7> = 0.662754
prob of solution |7> = 0.666442
prob of solution |7> = 0.670121
prob of solution |7> = 0.673789
prob of solution |7> = 0.677446
prob of solution |7> = 0.681093
prob of solution |7> = 0.684728
prob of solution |7> = 0.688352
prob of solution |7> = 0.691965
prob of solution |7> = 0.695566
prob of solution |7> = 0.699155
prob of solution |7> = 0.702732
prob of solution |7> = 0.706296
prob of solution |7> = 0.709848
prob of solution |7> = 0.713388
prob of solution |7> = 0.716914
prob of solution |7> = 0.720426
prob of solution |7> = 0.723926
prob of solution |7> = 0.727412
prob of solution |7> = 0.730883
prob of solution |7> = 0.734341
prob of solution |7> = 0.737785
prob of solution |7> = 0.741214
prob of solution |7> = 0.744628
prob of solution |7> = 0.748027
prob of solution |7> = 0.751411
prob of solution |7> = 0.75478
prob of solution |7> = 0.758133
prob of solution |7> = 0.761471
prob of solution |7> = 0.764793
prob of solution |7> = 0.768098
prob of solution |7> = 0.771387
prob of solution |7> = 0.774659
prob of solution |7> = 0.777915
prob of solution |7> = 0.781154
prob of solution |7> = 0.784375
prob of solution |7> = 0.78758
prob of solution |7> = 0.790766
prob of solution |7> = 0.793935
prob of solution |7> = 0.797086
prob of solution |7> = 0.800219
prob of solution |7> = 0.803334
prob of solution |7> = 0.80643
prob of solution |7> = 0.809507
prob of solution |7> = 0.812565
prob of solution |7> = 0.815605
prob of solution |7> = 0.818625
prob of solution |7> = 0.821625
prob of solution |7> = 0.824606
prob of solution |7> = 0.827568
prob of solution |7> = 0.830509
prob of solution |7> = 0.83343
prob of solution |7> = 0.83633
prob of solution |7> = 0.839211
prob of solution |7> = 0.84207
prob of solution |7> = 0.844909
prob of solution |7> = 0.847726
prob of solution |7> = 0.850522
prob of solution |7> = 0.853297
prob of solution |7> = 0.856051
prob of solution |7> = 0.858782
prob of solution |7> = 0.861492
prob of solution |7> = 0.864179
prob of solution |7> = 0.866845
prob of solution |7> = 0.869488
prob of solution |7> = 0.872108
prob of solution |7> = 0.874706
prob of solution |7> = 0.877281
prob of solution |7> = 0.879833
prob of solution |7> = 0.882362
prob of solution |7> = 0.884867
prob of solution |7> = 0.887349
prob of solution |7> = 0.889807
prob of solution |7> = 0.892241
prob of solution |7> = 0.894652
prob of solution |7> = 0.897038
prob of solution |7> = 0.8994
prob of solution |7> = 0.901738
prob of solution |7> = 0.904051
prob of solution |7> = 0.90634
prob of solution |7> = 0.908604
prob of solution |7> = 0.910843
prob of solution |7> = 0.913056
prob of solution |7> = 0.915245
prob of solution |7> = 0.917408
prob of solution |7> = 0.919546
prob of solution |7> = 0.921658
prob of solution |7> = 0.923744
prob of solution |7> = 0.925805
prob of solution |7> = 0.92784
prob of solution |7> = 0.929848
prob of solution |7> = 0.93183
prob of solution |7> = 0.933786
prob of solution |7> = 0.935715
prob of solution |7> = 0.937618
prob of solution |7> = 0.939494
prob of solution |7> = 0.941343
prob of solution |7> = 0.943166
prob of solution |7> = 0.944961
prob of solution |7> = 0.946729
prob of solution |7> = 0.94847
prob of solution |7> = 0.950183
prob of solution |7> = 0.951869
prob of solution |7> = 0.953528
prob of solution |7> = 0.955158
prob of solution |7> = 0.956761
prob of solution |7> = 0.958336
prob of solution |7> = 0.959884
prob of solution |7> = 0.961403
prob of solution |7> = 0.962893
prob of solution |7> = 0.964356
prob of solution |7> = 0.96579
prob of solution |7> = 0.967196
prob of solution |7> = 0.968573
prob of solution |7> = 0.969922
prob of solution |7> = 0.971242
prob of solution |7> = 0.972533
prob of solution |7> = 0.973796
prob of solution |7> = 0.975029
prob of solution |7> = 0.976234
prob of solution |7> = 0.977409
prob of solution |7> = 0.978556
prob of solution |7> = 0.979673
prob of solution |7> = 0.980761
prob of solution |7> = 0.981819
prob of solution |7> = 0.982848
prob of solution |7> = 0.983848
prob of solution |7> = 0.984818
prob of solution |7> = 0.985758
prob of solution |7> = 0.986669
prob of solution |7> = 0.98755
prob of solution |7> = 0.988402
prob of solution |7> = 0.989223
prob of solution |7> = 0.990015
prob of solution |7> = 0.990777
prob of solution |7> = 0.991509
prob of solution |7> = 0.99221
prob of solution |7> = 0.992882
prob of solution |7> = 0.993524
prob of solution |7> = 0.994136
prob of solution |7> = 0.994717
prob of solution |7> = 0.995268
prob of solution |7> = 0.995789
prob of solution |7> = 0.99628
prob of solution |7> = 0.99674
prob of solution |7> = 0.997171
prob of solution |7> = 0.99757
prob of solution |7> = 0.99794
prob of solution |7> = 0.998279
prob of solution |7> = 0.998587
prob of solution |7> = 0.998866
prob of solution |7> = 0.999113
prob of solution |7> = 0.999331
prob of solution |7> = 0.999518
prob of solution |7> = 0.999674
prob of solution |7> = 0.9998
prob of solution |7> = 0.999895
prob of solution |7> = 0.99996
prob of solution |7> = 0.999994
prob of solution |7> = 0.999998
prob of solution |7> = 0.999971
Short sleep call to allow memory analysis
free(): invalid pointer
Aborted (core dumped)
heaptrack stats:
	allocations:          	23
	leaked allocations:   	22
	temporary allocations:	1
Heaptrack finished! Now run the following to investigate the data:

  heaptrack --analyze "/home/greg/quantum/QuEST_Test_Bench/heaptrack.grover.994398.gz"
