heaptrack output will be written to "/home/greg/quantum/QuEST_Test_Bench/heaptrack.grover.994187.gz"
starting application, this might take some time...
numQubits: 17, numElems: 131072, numReps: 285
prob of solution |7> = 6.86632e-05
prob of solution |7> = 0.000190723
prob of solution |7> = 0.000373795
prob of solution |7> = 0.000617855
prob of solution |7> = 0.000922875
prob of solution |7> = 0.00128882
prob of solution |7> = 0.00171564
prob of solution |7> = 0.00220328
prob of solution |7> = 0.00275169
prob of solution |7> = 0.0033608
prob of solution |7> = 0.00403053
prob of solution |7> = 0.00476081
prob of solution |7> = 0.00555154
prob of solution |7> = 0.00640263
prob of solution |7> = 0.00731397
prob of solution |7> = 0.00828545
prob of solution |7> = 0.00931695
prob of solution |7> = 0.0104084
prob of solution |7> = 0.0115595
prob of solution |7> = 0.0127703
prob of solution |7> = 0.0140406
prob of solution |7> = 0.0153702
prob of solution |7> = 0.0167589
prob of solution |7> = 0.0182066
prob of solution |7> = 0.0197132
prob of solution |7> = 0.0212784
prob of solution |7> = 0.022902
prob of solution |7> = 0.0245838
prob of solution |7> = 0.0263237
prob of solution |7> = 0.0281214
prob of solution |7> = 0.0299767
prob of solution |7> = 0.0318894
prob of solution |7> = 0.0338592
prob of solution |7> = 0.035886
prob of solution |7> = 0.0379693
prob of solution |7> = 0.0401091
prob of solution |7> = 0.042305
prob of solution |7> = 0.0445568
prob of solution |7> = 0.0468642
prob of solution |7> = 0.0492269
prob of solution |7> = 0.0516446
prob of solution |7> = 0.0541171
prob of solution |7> = 0.056644
prob of solution |7> = 0.059225
prob of solution |7> = 0.0618598
prob of solution |7> = 0.0645481
prob of solution |7> = 0.0672895
prob of solution |7> = 0.0700838
prob of solution |7> = 0.0729306
prob of solution |7> = 0.0758294
prob of solution |7> = 0.0787801
prob of solution |7> = 0.0817822
prob of solution |7> = 0.0848353
prob of solution |7> = 0.0879391
prob of solution |7> = 0.0910932
prob of solution |7> = 0.0942972
prob of solution |7> = 0.0975508
prob of solution |7> = 0.100853
prob of solution |7> = 0.104205
prob of solution |7> = 0.107605
prob of solution |7> = 0.111052
prob of solution |7> = 0.114547
prob of solution |7> = 0.118089
prob of solution |7> = 0.121678
prob of solution |7> = 0.125313
prob of solution |7> = 0.128994
prob of solution |7> = 0.13272
prob of solution |7> = 0.136491
prob of solution |7> = 0.140306
prob of solution |7> = 0.144165
prob of solution |7> = 0.148067
prob of solution |7> = 0.152013
prob of solution |7> = 0.156001
prob of solution |7> = 0.160031
prob of solution |7> = 0.164102
prob of solution |7> = 0.168215
prob of solution |7> = 0.172368
prob of solution |7> = 0.176561
prob of solution |7> = 0.180793
prob of solution |7> = 0.185064
prob of solution |7> = 0.189374
prob of solution |7> = 0.193722
prob of solution |7> = 0.198107
prob of solution |7> = 0.202529
prob of solution |7> = 0.206987
prob of solution |7> = 0.211481
prob of solution |7> = 0.216011
prob of solution |7> = 0.220575
prob of solution |7> = 0.225173
prob of solution |7> = 0.229804
prob of solution |7> = 0.234469
prob of solution |7> = 0.239166
prob of solution |7> = 0.243895
prob of solution |7> = 0.248655
prob of solution |7> = 0.253446
prob of solution |7> = 0.258267
prob of solution |7> = 0.263117
prob of solution |7> = 0.267996
prob of solution |7> = 0.272904
prob of solution |7> = 0.277839
prob of solution |7> = 0.282802
prob of solution |7> = 0.287791
prob of solution |7> = 0.292806
prob of solution |7> = 0.297846
prob of solution |7> = 0.302911
prob of solution |7> = 0.308
prob of solution |7> = 0.313112
prob of solution |7> = 0.318247
prob of solution |7> = 0.323405
prob of solution |7> = 0.328584
prob of solution |7> = 0.333783
prob of solution |7> = 0.339004
prob of solution |7> = 0.344243
prob of solution |7> = 0.349502
prob of solution |7> = 0.354779
prob of solution |7> = 0.360074
prob of solution |7> = 0.365386
prob of solution |7> = 0.370715
prob of solution |7> = 0.376059
prob of solution |7> = 0.381418
prob of solution |7> = 0.386792
prob of solution |7> = 0.39218
prob of solution |7> = 0.39758
prob of solution |7> = 0.402994
prob of solution |7> = 0.408419
prob of solution |7> = 0.413855
prob of solution |7> = 0.419302
prob of solution |7> = 0.424759
prob of solution |7> = 0.430224
prob of solution |7> = 0.435699
prob of solution |7> = 0.441181
prob of solution |7> = 0.44667
prob of solution |7> = 0.452166
prob of solution |7> = 0.457668
prob of solution |7> = 0.463175
prob of solution |7> = 0.468686
prob of solution |7> = 0.474202
prob of solution |7> = 0.47972
prob of solution |7> = 0.485241
prob of solution |7> = 0.490764
prob of solution |7> = 0.496287
prob of solution |7> = 0.501812
prob of solution |7> = 0.507336
prob of solution |7> = 0.512859
prob of solution |7> = 0.51838
prob of solution |7> = 0.5239
prob of solution |7> = 0.529416
prob of solution |7> = 0.534929
prob of solution |7> = 0.540437
prob of solution |7> = 0.545941
prob of solution |7> = 0.551439
prob of solution |7> = 0.556931
prob of solution |7> = 0.562415
prob of solution |7> = 0.567893
prob of solution |7> = 0.573361
prob of solution |7> = 0.578821
prob of solution |7> = 0.584272
prob of solution |7> = 0.589712
prob of solution |7> = 0.595141
prob of solution |7> = 0.600558
prob of solution |7> = 0.605963
prob of solution |7> = 0.611355
prob of solution |7> = 0.616734
prob of solution |7> = 0.622098
prob of solution |7> = 0.627448
prob of solution |7> = 0.632782
prob of solution |7> = 0.6381
prob of solution |7> = 0.6434
prob of solution |7> = 0.648684
prob of solution |7> = 0.653949
prob of solution |7> = 0.659195
prob of solution |7> = 0.664422
prob of solution |7> = 0.669629
prob of solution |7> = 0.674815
prob of solution |7> = 0.67998
prob of solution |7> = 0.685123
prob of solution |7> = 0.690243
prob of solution |7> = 0.69534
prob of solution |7> = 0.700414
prob of solution |7> = 0.705462
prob of solution |7> = 0.710486
prob of solution |7> = 0.715484
prob of solution |7> = 0.720456
prob of solution |7> = 0.725401
prob of solution |7> = 0.730318
prob of solution |7> = 0.735207
prob of solution |7> = 0.740067
prob of solution |7> = 0.744898
prob of solution |7> = 0.7497
prob of solution |7> = 0.75447
prob of solution |7> = 0.75921
prob of solution |7> = 0.763918
prob of solution |7> = 0.768594
prob of solution |7> = 0.773237
prob of solution |7> = 0.777847
prob of solution |7> = 0.782422
prob of solution |7> = 0.786964
prob of solution |7> = 0.79147
prob of solution |7> = 0.795941
prob of solution |7> = 0.800375
prob of solution |7> = 0.804773
prob of solution |7> = 0.809134
prob of solution |7> = 0.813457
prob of solution |7> = 0.817741
prob of solution |7> = 0.821987
prob of solution |7> = 0.826194
prob of solution |7> = 0.830361
prob of solution |7> = 0.834487
prob of solution |7> = 0.838573
prob of solution |7> = 0.842617
prob of solution |7> = 0.846619
prob of solution |7> = 0.85058
prob of solution |7> = 0.854497
prob of solution |7> = 0.858371
prob of solution |7> = 0.862201
prob of solution |7> = 0.865988
prob of solution |7> = 0.869729
prob of solution |7> = 0.873425
prob of solution |7> = 0.877076
prob of solution |7> = 0.880681
prob of solution |7> = 0.884239
prob of solution |7> = 0.88775
prob of solution |7> = 0.891214
prob of solution |7> = 0.894631
prob of solution |7> = 0.897999
prob of solution |7> = 0.901318
prob of solution |7> = 0.904589
prob of solution |7> = 0.90781
prob of solution |7> = 0.910981
prob of solution |7> = 0.914102
prob of solution |7> = 0.917173
prob of solution |7> = 0.920193
prob of solution |7> = 0.923161
prob of solution |7> = 0.926078
prob of solution |7> = 0.928942
prob of solution |7> = 0.931755
prob of solution |7> = 0.934514
prob of solution |7> = 0.937221
prob of solution |7> = 0.939874
prob of solution |7> = 0.942474
prob of solution |7> = 0.945019
prob of solution |7> = 0.947511
prob of solution |7> = 0.949947
prob of solution |7> = 0.952329
prob of solution |7> = 0.954655
prob of solution |7> = 0.956926
prob of solution |7> = 0.959141
prob of solution |7> = 0.961301
prob of solution |7> = 0.963403
prob of solution |7> = 0.96545
prob of solution |7> = 0.967439
prob of solution |7> = 0.969371
prob of solution |7> = 0.971247
prob of solution |7> = 0.973064
prob of solution |7> = 0.974824
prob of solution |7> = 0.976526
prob of solution |7> = 0.978169
prob of solution |7> = 0.979755
prob of solution |7> = 0.981282
prob of solution |7> = 0.98275
prob of solution |7> = 0.984159
prob of solution |7> = 0.985509
prob of solution |7> = 0.986799
prob of solution |7> = 0.988031
prob of solution |7> = 0.989202
prob of solution |7> = 0.990314
prob of solution |7> = 0.991366
prob of solution |7> = 0.992358
prob of solution |7> = 0.993291
prob of solution |7> = 0.994162
prob of solution |7> = 0.994974
prob of solution |7> = 0.995725
prob of solution |7> = 0.996416
prob of solution |7> = 0.997046
prob of solution |7> = 0.997615
prob of solution |7> = 0.998123
prob of solution |7> = 0.998571
prob of solution |7> = 0.998958
prob of solution |7> = 0.999284
prob of solution |7> = 0.999549
prob of solution |7> = 0.999753
prob of solution |7> = 0.999896
prob of solution |7> = 0.999978
prob of solution |7> = 0.999999
prob of solution |7> = 0.999959
Short sleep call to allow memory analysis
free(): invalid pointer
Aborted (core dumped)
heaptrack stats:
	allocations:          	23
	leaked allocations:   	22
	temporary allocations:	1
Heaptrack finished! Now run the following to investigate the data:

