numQubits: 11, numElems: 2048, numReps: 36
prob of solution |7> = 0.00438881
prob of solution |7> = 0.0121594
prob of solution |7> = 0.0237394
prob of solution |7> = 0.0390384
prob of solution |7> = 0.0579368
prob of solution |7> = 0.0802872
prob of solution |7> = 0.105915
prob of solution |7> = 0.13462
prob of solution |7> = 0.166178
prob of solution |7> = 0.200343
prob of solution |7> = 0.236848
prob of solution |7> = 0.275408
prob of solution |7> = 0.315721
prob of solution |7> = 0.357474
prob of solution |7> = 0.400339
prob of solution |7> = 0.443983
prob of solution |7> = 0.488064
prob of solution |7> = 0.532238
prob of solution |7> = 0.576161
prob of solution |7> = 0.619489
prob of solution |7> = 0.661883
prob of solution |7> = 0.703014
prob of solution |7> = 0.742559
prob of solution |7> = 0.780211
prob of solution |7> = 0.815674
prob of solution |7> = 0.848672
prob of solution |7> = 0.878948
prob of solution |7> = 0.906264
prob of solution |7> = 0.930408
prob of solution |7> = 0.951191
prob of solution |7> = 0.968451
prob of solution |7> = 0.982053
prob of solution |7> = 0.991891
prob of solution |7> = 0.997888
prob of solution |7> = 0.999997
prob of solution |7> = 0.998201
